game,polarity,subjectivity,prediction
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
Counter-Strike%3A%20Global%20Offensive,-0.6999999999999998,0.6666666666666666,1
fortnite,0.0,0.0,0
Just%20Chatting,0.2357142857142857,0.6642857142857144,0
chess,0.0,0.0,0
valorant,0.4,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
Counter-Strike%3A%20Global%20Offensive,-0.6999999999999998,0.6666666666666666,1
fortnite,0.0,0.0,0
Just%20Chatting,0.2357142857142857,0.6642857142857144,0
chess,0.0,0.0,0
valorant,0.4,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
Counter-Strike%3A%20Global%20Offensive,-0.6999999999999998,0.6666666666666666,1
fortnite,0.0,0.0,0
Just%20Chatting,0.2357142857142857,0.6642857142857144,0
chess,0.0,0.0,0
valorant,0.4,0.65,0
fortnite,0.0,0.0,1
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,1
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,1
fortnite,0.0,0.0,1
Just%20Chatting,0.0,0.0,1
chess,0.0,0.0,1
valorant,0.0,0.0,1
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,1
fortnite,0.0,0.0,1
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,1
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,1
fortnite,0.0,0.0,1
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,1
valorant,-0.1555555555555555,0.2888888888888889,1
Counter-Strike%3A%20Global%20Offensive,-0.6999999999999998,0.6666666666666666,1
fortnite,0.0,0.0,1
Just%20Chatting,0.2357142857142857,0.6642857142857144,0
chess,0.0,0.0,1
valorant,0.4,0.65,0
fortnite,0.0,0.0,1
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,1
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,1
fortnite,0.0,0.0,1
Just%20Chatting,0.0,0.0,1
chess,0.0,0.0,1
valorant,0.0,0.0,1
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,1
fortnite,0.0,0.0,1
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,1
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,1
fortnite,0.0,0.0,1
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,1
valorant,-0.1555555555555555,0.2888888888888889,1
Counter-Strike%3A%20Global%20Offensive,-0.6999999999999998,0.6666666666666666,1
fortnite,0.0,0.0,1
Just%20Chatting,0.2357142857142857,0.6642857142857144,0
chess,0.0,0.0,1
valorant,0.4,0.65,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,1
fortnite,0.0,0.0,1
Just%20Chatting,-0.0499999999999999,0.4,0
chess,0.0,0.0,1
valorant,0.5,0.4333333333333333,0
fortnite,0.0,0.0,2
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,2
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,2
fortnite,0.0,0.0,2
Just%20Chatting,0.0,0.0,2
chess,0.0,0.0,2
valorant,0.0,0.0,2
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,2
fortnite,0.0,0.0,2
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,2
